Date,Description,Amount,Category
2023-06-05,Monthly prescription,98.48,Health
2023-04-25,Monthly home decor,197.79,Shopping
2023-05-17,Monthly beauty products,50.5,Shopping
2023-11-30,Fresh produce from Local grocery,28.41,Groceries
2023-11-20,Monthly concert tickets,103.73,Entertainment
2023-12-22,Household supplies at Safeway,74.31,Groceries
2023-05-09,Local grocery - organic food,187.92,Groceries
2023-07-11,Gym - medical test,164.1,Health
2023-05-18,Real estate office property service,226.8,Housing
2023-03-12,Monthly toll,15.51,Transport
2023-05-28,Monthly property service,132.03,Housing
2023-05-03,Grocery shopping from Pizza Hut,99.65,Food
2023-03-17,Local grocery - pet supplies,71.57,Groceries
2023-12-10,Insurance provider disability insurance,221.55,Insurance
2023-11-25,Insurance broker home insurance,283.81,Insurance
2023-08-27,Monthly home insurance,350.62,Housing
2023-01-09,Utility company waste management,49.97,Utilities
2023-02-02,Housing authority - mortgage payment,1795.68,Housing
2023-04-21,Shoes payment,46.55,Shopping
2023-01-01,Monthly smartphone,555.83,Electronics
2023-08-06,Wellness center - eye exam,66.29,Health
2023-08-16,Auto shop - taxi,35.31,Transport
2023-02-12,Target - laptop,674.37,Electronics
2023-01-08,First aid supplies from Pharmacy,34.94,Health
2023-03-26,Monthly sewer service,63.61,Utilities
2023-05-25,Gas bill at Municipal services,80.25,Utilities
2023-03-16,Monthly metro card,91.7,Transport
2023-03-25,Online insurance travel insurance,22.65,Insurance
2023-09-22,Life insurance from Insurance agent,92.7,Insurance
2023-10-14,Insurance broker home insurance,68.33,Insurance
2023-06-26,Computer accessories payment,78.84,Electronics
2023-07-01,Airport - toll,15.85,Transport
2024-01-10,Bulk shopping payment,274.7,Groceries
2023-08-23,Stadium - gaming subscription,14.61,Entertainment
2023-09-17,Laptop from Microsoft Store,1880.82,Electronics
2024-01-25,Car wash from Gas station,39.92,Transport
2023-05-14,Household supplies payment,88.96,Groceries
2024-01-05,Dental checkup payment,319.62,Health
2023-02-21,Insurance office - health insurance,144.56,Insurance
2023-05-17,Food delivery payment,19.84,Food
2023-08-24,Local retailer gaming console,374.49,Electronics
2023-11-23,Monthly lunch,9.82,Food
2024-01-20,Monthly computer accessories,137.23,Electronics
2023-01-09,Rental insurance payment,31.78,Insurance
2024-01-09,Water department waste management,33.53,Utilities
2023-11-27,City utilities - cable tv,101.81,Utilities
2023-03-24,Rental insurance from Insurance agent,71.51,Insurance
2023-03-30,Aldi - baby supplies,123.06,Groceries
2023-11-03,Theme park theme park,117.96,Entertainment
2023-01-14,Property tax at Real estate office,1235.39,Housing
2023-02-22,Medical center - eye exam,65.6,Health
2023-03-25,Real estate office - home improvement,977.48,Housing
2023-10-11,Energy service at Phone company,112.32,Utilities
2023-02-16,Therapy session at Wellness center,105.29,Health
2023-04-06,Fast food from Whole Foods,21.79,Food
2023-05-22,Panera Bread lunch,9.49,Food
2023-10-14,Pet supplies payment,57.96,Groceries
2024-02-12,Burger King coffee shop,16.53,Food
2023-06-27,Monthly water bill,33.77,Utilities
2023-08-02,Maintenance company - property service,132.73,Housing
2023-06-20,Water bill payment,68.59,Utilities
2023-03-21,Food delivery at Starbucks,15.3,Food
2023-06-15,Monthly vitamins,33.19,Health
2023-03-23,Electricity bill at Municipal services,148.96,Utilities
2024-02-20,Snacks and beverages at Trader Joe's,25.27,Groceries
2023-12-20,Fresh produce from Whole Foods,21.31,Groceries
2023-06-08,Monthly organic food,148.59,Groceries
2024-01-22,Monthly rent payment,1818.56,Housing
2024-02-26,Food delivery from Burger King,34.7,Food
2024-02-15,Monthly eye exam,99.43,Health
2023-07-01,Uber ride from Highway,41.76,Transport
2023-08-15,Monthly netflix subscription,13.34,Entertainment
2024-01-13,Eye care center health insurance,286.82,Health
2023-01-10,Personal care payment,66.81,Shopping
2023-04-29,City utilities internet bill,49.4,Utilities
2023-02-22,Internet bill at City utilities,78.65,Utilities
2023-06-01,Organic food payment,180.22,Groceries
2023-04-24,Monthly fast food,5.92,Food
2023-04-09,Monthly dental checkup,271.52,Health
2023-02-25,Gaming console from Tech shop,383.51,Electronics
2023-05-06,Snacks and beverages at Aldi,65.24,Groceries
2023-05-18,Pizza Hut - coffee shop,4.64,Food
2023-06-07,Phone company water bill,75.67,Utilities
2023-06-21,Local restaurant lunch,12.92,Food
2023-08-13,Online store gaming console,432.17,Electronics
2023-07-15,Vitamins payment,39.94,Health
2023-08-20,Pet insurance at Insurance broker,87.93,Insurance
2023-11-17,Office supplies at Specialty shop,95.12,Shopping
2023-08-14,Mall home decor,63.11,Shopping
2023-10-08,Microsoft Store - computer accessories,177.89,Electronics
2023-04-22,TV payment,529.8,Electronics
2023-01-28,Music streaming payment,12.41,Entertainment
2023-01-26,Gym - eye exam,163.18,Health
2023-09-12,Monthly waste management,37.04,Utilities
2024-01-19,Department store - office supplies,88.52,Shopping
2023-09-13,Monthly music streaming,5.11,Entertainment
2023-06-02,Furniture at Outlet,387.7,Shopping
2023-01-20,Snacks from Starbucks,13.89,Food
2023-03-01,Grocery shopping at Trader Joe's,66.1,Food
2023-07-22,Housing authority - maintenance,521.45,Housing
2023-12-28,Outlet accessories,48.57,Shopping
2024-01-12,Headphones at Online store,32.69,Electronics
2023-06-13,Insurance office home insurance,289.47,Insurance
2024-01-16,Electricity bill at Cable provider,81.26,Utilities
2023-04-17,Pet supplies from Trader Joe's,50.96,Groceries
2023-12-20,Target meat and dairy,31.19,Groceries
2023-03-15,Eye exam payment,93.09,Health
2023-10-20,Monthly life insurance,179.89,Insurance
2023-02-20,Train ticket at Downtown,49.26,Transport
2023-11-24,Car insurance payment,131.39,Insurance
2023-11-12,Eye care center - health insurance,320.68,Health
2024-01-26,Housing authority - property service,291.21,Housing
2023-08-18,Vision insurance at Insurance broker,70.92,Insurance
2023-02-27,Housing authority - property service,451.48,Housing
2024-01-13,Monthly food delivery,36.93,Food
2024-01-18,Monthly book purchase,43.86,Entertainment
2023-01-05,Bus ticket payment,6.24,Transport
2023-01-17,Health insurance at Insurance provider,439.94,Insurance
2023-02-14,Medical center medical test,76.79,Health
2023-09-10,Electricity bill payment,166.42,Utilities
2023-10-18,Maintenance company - property service,206.24,Housing
2023-12-08,Netflix subscription payment,18.65,Entertainment
2023-07-10,Sports equipment at Outlet,216.12,Shopping
2023-04-29,Monthly utility deposit,269.56,Utilities
2023-07-25,Internet bill from Municipal services,41.89,Utilities
2023-12-12,Health store - doctor visit,127.16,Health
2023-12-25,Vitamins at Hospital,20.14,Health
2023-08-29,Concert hall theme park,49.28,Entertainment
2023-09-20,HOA fees at Housing authority,284.38,Housing
2023-09-13,Monthly hoa fees,141.41,Housing
2024-02-13,Wellness center - medical test,53.94,Health
2024-02-14,Monthly rent at Apartment complex,1864.46,Housing
2023-12-28,Electricity bill from Power company,131.59,Utilities
2024-01-28,Car insurance at Insurance office,167.28,Insurance
2023-02-23,Monthly health insurance,226.99,Health
2023-09-27,Local restaurant food delivery,33.82,Food
2023-11-14,Taxi from Gas station,50.5,Transport
2023-02-01,Internet bill at Internet provider,56.83,Utilities
2024-02-27,Monthly dinner,70.98,Food
2023-03-07,Beverages payment,23.12,Food
2023-09-19,Monthly lunch,18.06,Food
2023-10-03,Gas bill at City utilities,123.17,Utilities
2023-08-16,Monthly clothes,103.14,Shopping
2023-03-21,Utility deposit at Phone company,175.5,Utilities
2023-12-22,Housing authority repairs,296.82,Housing
2023-05-22,Insurance provider - rental insurance,25.49,Insurance
2024-01-27,Monthly property tax,1908.41,Housing
2023-01-19,Cable TV payment,87.81,Utilities
2023-03-31,Maintenance from Real estate office,947.27,Housing
2023-06-03,Laptop from Walmart,1938.37,Electronics
2024-01-16,Pet supplies from Local grocery,69.76,Groceries
2023-11-27,Highway - car wash,19.55,Transport
2023-03-05,Monthly travel insurance,31.84,Insurance
2023-11-17,Museum entry at Venue,15.41,Entertainment
2023-11-25,Monthly travel insurance,61.47,Insurance
2023-04-27,Netflix subscription payment,19.74,Entertainment
2023-07-11,Tech shop tablet,281.36,Electronics
2023-11-03,Trader Joe's - bulk shopping,187.94,Groceries
2023-03-01,Fast food at Local restaurant,27.81,Food
2023-12-29,Security deposit from Maintenance company,1652.44,Housing
2023-08-08,Doctor visit at Clinic,161.83,Health
2024-01-25,Personal care from Retail store,77.53,Shopping
2023-02-06,Weekly groceries at Local market,154.19,Groceries
2023-06-11,Kroger - fresh produce,59.98,Groceries
2023-09-22,Property management property service,331.89,Housing
2023-07-05,Trader Joe's - baby supplies,94.08,Groceries
2024-01-14,Internet bill at Phone company,94.84,Utilities
2023-10-28,Organic food at Kroger,114.15,Groceries
2023-10-08,Online store - tablet,343.92,Electronics
2023-11-27,Best Buy tablet,419.57,Electronics
2023-11-22,Smartphone payment,998.69,Electronics
2023-03-11,Gaming subscription at Theater,11.38,Entertainment
2023-04-02,Auto shop - car maintenance,65.52,Transport
2023-05-14,Insurance provider car insurance,122.09,Insurance
2023-07-05,Monthly gaming subscription,10.54,Entertainment
2023-07-11,Smartphone at Electronics store,803.0,Electronics
2023-08-29,Municipal services cable tv,136.45,Utilities
2023-09-05,Monthly sewer service,69.76,Utilities
2023-10-23,Monthly rent at Property management,1939.46,Housing
2023-01-25,Organic food from Aldi,72.49,Groceries
2023-06-29,Museum entry at Concert hall,18.69,Entertainment
2023-06-17,Pantry items at Kroger,56.91,Groceries
2023-07-05,Smart home device payment,135.78,Electronics
2023-06-05,Monthly therapy session,159.46,Health
2023-02-19,Mortgage payment from Housing authority,1686.6,Housing
2024-01-22,Auto shop - taxi,33.13,Transport
2023-03-24,Camera payment,473.72,Electronics
2023-08-06,Monthly computer accessories,24.68,Electronics
2023-09-20,Disability insurance from Insurance provider,263.77,Insurance
2023-03-02,Mall furniture,130.57,Shopping
2024-02-01,Insurance company - car insurance,274.38,Insurance
2023-11-14,Monthly home insurance,137.83,Housing
2023-07-23,Local grocery fresh produce,48.1,Groceries
2023-09-24,Monthly taxi,26.99,Transport
2024-01-29,Monthly energy service,185.04,Utilities
2023-04-02,Music streaming from Bookstore,10.06,Entertainment
2023-07-21,Monthly computer accessories,76.62,Electronics
2023-07-20,Utility deposit from Power company,294.34,Utilities
2023-05-10,Bulk shopping at Local grocery,176.66,Groceries
2023-09-26,Monthly fast food,9.84,Food
2023-11-13,Fast food at Starbucks,28.54,Food
2023-01-13,Monthly dental checkup,103.09,Health
2023-04-14,Monthly household supplies,45.19,Groceries
2023-07-20,Therapy session payment,157.9,Health
2023-11-02,Property tax from Property management,1648.5,Housing
2024-02-27,Vitamins at Pharmacy,23.18,Health
2023-02-28,Toll at Parking garage,6.79,Transport
2023-08-12,Rental insurance at Insurance broker,86.43,Insurance
2023-06-29,Music streaming from Venue,11.96,Entertainment
2023-06-16,HOA fees at Home service,149.75,Housing
2023-06-07,Coffee shop from Starbucks,16.03,Food
2023-12-08,City center train ticket,46.71,Transport
2023-08-14,Car insurance from Insurance broker,291.5,Insurance
2023-08-10,Maintenance at Home service,441.35,Housing
2023-06-02,Pet supplies payment,27.55,Groceries
2023-07-13,Local retailer - headphones,292.48,Electronics
2023-04-25,Safeway - fresh produce,89.13,Groceries
2023-09-17,Monthly cable tv,65.39,Utilities
2023-06-03,Insurance broker health insurance,194.47,Insurance
2024-02-26,Monthly gifts,35.78,Shopping
2023-05-12,Monthly smart home device,175.17,Electronics
2023-01-18,Clothes from Brand store,164.52,Shopping
2024-01-05,Monthly car insurance,203.16,Insurance
2023-06-01,Fast food payment,20.43,Food
2023-01-13,Apartment complex mortgage payment,1049.81,Housing
2023-04-09,Burger King lunch,23.74,Food
2023-08-04,Gym - first aid supplies,31.24,Health
2023-04-14,Monthly laptop,1111.03,Electronics
2024-02-24,Insurance broker - travel insurance,40.69,Insurance
2024-01-06,Monthly vitamins,42.73,Health
2023-05-20,Walmart tablet,671.4,Electronics
2023-08-24,Travel insurance at Insurance office,70.2,Insurance
2023-11-26,Netflix subscription from Online service,14.02,Entertainment
2023-03-26,Hospital health insurance,200.04,Health
2023-09-03,Breakfast from Subway,14.91,Food
2023-04-14,Snacks at Chipotle,12.84,Food
2023-11-30,Cable TV from Water department,113.57,Utilities
2023-01-11,Monthly health insurance,156.07,Insurance
2023-04-28,Metro card from Parking garage,72.85,Transport
2023-10-06,Gaming console payment,357.15,Electronics
2023-04-28,Monthly snacks,9.72,Food
2023-07-31,Energy service at Municipal services,62.56,Utilities
2023-06-11,Medical center doctor visit,128.42,Health
2023-02-14,Furniture payment,341.94,Shopping
2023-03-04,Target gaming console,402.04,Electronics
2023-10-15,Airport - metro card,45.28,Transport
2023-11-16,Music streaming payment,6.29,Entertainment
2023-03-31,Snacks payment,6.84,Food
2023-10-30,Breakfast payment,23.52,Food
2023-08-24,Sewer service from Cable provider,41.14,Utilities
2023-05-19,Beverages payment,18.19,Food
2023-01-31,Insurance broker pet insurance,24.82,Insurance
2023-03-09,Furniture from Mall,344.99,Shopping
2023-01-30,Monthly maintenance,167.49,Housing
2023-12-06,Charger payment,31.0,Electronics
2023-05-02,Apple Store - headphones,297.41,Electronics
2023-11-25,Clinic - health insurance,278.31,Health
2023-11-16,Insurance broker disability insurance,203.08,Insurance
2024-02-24,Home insurance from Insurance provider,258.09,Insurance
2024-02-04,Subway food delivery,36.57,Food
2023-11-07,Brand store - gifts,23.7,Shopping
2023-05-16,Stadium - sports event,43.04,Entertainment
2023-06-07,Grocery shopping from Whole Foods,52.94,Food
2023-04-10,Phone bill payment,38.29,Utilities
2023-03-08,Amazon - headphones,124.94,Electronics
2024-01-19,Property management monthly rent,1673.06,Housing
2023-08-01,Home decor at Boutique,83.56,Shopping
2023-06-13,Online store - headphones,28.67,Electronics
2023-11-19,Safeway snacks and beverages,54.39,Groceries
2023-10-06,Monthly camera,443.84,Electronics
2023-06-15,Sports event payment,176.65,Entertainment
2024-02-11,Metro card at Downtown,53.68,Transport
2023-11-16,Insurance agent - life insurance,122.59,Insurance
2023-10-01,Cable provider - utility deposit,234.19,Utilities
2023-03-21,Health store prescription,92.66,Health
2023-01-31,Burger King fast food,9.78,Food
2023-02-09,Highway gas,65.7,Transport
2023-04-29,Snacks and beverages payment,50.28,Groceries
2024-01-23,Local restaurant - grocery shopping,179.48,Food
2023-08-03,Personal care payment,78.17,Shopping
2023-11-01,Eye exam at Hospital,175.68,Health
2023-08-20,Monthly accessories,33.57,Shopping
2023-09-21,Utility deposit at Cable provider,284.77,Utilities
2024-01-20,Water bill at City utilities,42.8,Utilities
2023-05-21,Water bill payment,34.28,Utilities
2023-05-17,Shopping center office supplies,87.47,Shopping
2023-03-06,TV at Online store,487.55,Electronics
2023-09-22,Music streaming from Museum,7.82,Entertainment
2023-10-22,Water department sewer service,55.31,Utilities
2023-04-18,Monthly vision insurance,55.32,Insurance
2023-10-25,Insurance provider - dental insurance,37.71,Insurance
2023-01-08,Retail store office supplies,35.66,Shopping
2023-02-22,Health insurance payment,314.86,Health
2023-05-07,Concert tickets at Entertainment center,129.27,Entertainment
2023-06-22,Headphones at Amazon,199.52,Electronics
2023-09-12,Music streaming at Cinema,8.11,Entertainment
2024-01-20,Online insurance home insurance,287.51,Insurance
2023-10-30,Monthly movie tickets,18.86,Entertainment
2023-01-15,Monthly fast food,7.83,Food
2023-04-12,Monthly parking,27.83,Transport
2023-10-24,Medical test payment,150.85,Health
2023-06-13,Movie tickets at Bookstore,18.14,Entertainment
2023-01-27,Cinema gaming subscription,13.69,Entertainment
2024-02-15,Museum - museum entry,41.7,Entertainment
2024-01-21,Sports equipment at Brand store,205.68,Shopping
2023-07-29,Disability insurance from Insurance broker,195.45,Insurance
2023-10-24,Monthly gaming console,297.38,Electronics
2023-12-30,Monthly medical test,131.78,Health
2023-04-12,Car insurance at Insurance agent,52.45,Insurance
2023-07-19,Health store - doctor visit,55.31,Health
2023-02-15,Monthly gym membership,68.01,Health
2023-01-23,Dental office eye exam,172.82,Health
2023-07-13,Monthly doctor visit,143.86,Health
2023-08-23,Department store beauty products,59.44,Shopping
2024-01-02,Theme park theater show,57.96,Entertainment
2023-06-02,Theme park payment,118.28,Entertainment
2024-02-18,Sewer service from City utilities,60.27,Utilities
2023-05-16,Monthly smart home device,56.2,Electronics
2023-10-17,Retail store furniture,404.14,Shopping
2023-06-28,Phone bill from Utility company,52.08,Utilities
2023-06-06,Breakfast from Chipotle,28.98,Food
2023-02-27,Monthly taxi,50.86,Transport
2023-02-21,Monthly smart home device,96.25,Electronics
2023-12-31,Aldi household supplies,39.66,Groceries
2023-09-09,Home decor at Brand store,133.49,Shopping
2024-01-31,Prescription from Dental office,76.0,Health
2023-07-08,Laptop at Microsoft Store,1242.01,Electronics
2023-06-29,Concert hall - concert tickets,126.76,Entertainment
2023-09-10,Accessories at Shopping center,27.29,Shopping
2023-11-19,Local station toll,16.48,Transport
2023-01-16,Furniture payment,270.15,Shopping
2023-02-12,Headphones payment,65.01,Electronics
2023-08-06,Shoes at Boutique,109.76,Shopping
2023-05-06,Monthly pantry items,70.59,Groceries
2023-09-09,Food delivery at Chipotle,26.07,Food
2023-06-02,Smart home device from Microsoft Store,91.8,Electronics
2023-09-04,Accessories payment,29.07,Shopping
2023-06-03,Clinic - prescription,37.02,Health
2023-01-23,Monthly property service,399.95,Housing
2023-10-16,Gym medical test,248.43,Health
2023-11-05,Concert tickets at Venue,55.41,Entertainment
2023-11-01,Theater book purchase,21.26,Entertainment
2023-02-14,Car wash payment,17.4,Transport
2024-01-20,Parking garage - taxi,24.52,Transport
2023-04-05,Laptop at Walmart,1519.93,Electronics
2023-01-25,Theater show at Venue,63.2,Entertainment
2023-01-22,Medical test at Wellness center,150.0,Health
2023-05-30,Insurance company - travel insurance,75.3,Insurance
2023-07-04,Panera Bread restaurant,43.3,Food
2023-10-20,Travel insurance from Insurance broker,91.37,Insurance
2024-02-05,Metro card payment,62.5,Transport
2023-02-23,Gas bill at Phone company,48.6,Utilities
2023-10-08,Real estate office home insurance,384.39,Housing
2023-06-18,Food delivery payment,31.08,Food
2023-11-06,Cable TV payment,140.17,Utilities
2023-04-21,Car maintenance payment,87.77,Transport
2023-02-02,Headphones from Electronics store,250.11,Electronics
2023-02-15,Museum entry from Theater,19.31,Entertainment
2023-06-17,Computer accessories from Microsoft Store,46.27,Electronics
2023-02-26,Train ticket at Transit hub,16.9,Transport
2024-02-18,Netflix subscription from Museum,14.9,Entertainment
2023-01-16,Eye exam payment,54.6,Health
2023-07-31,Bus ticket from Service center,2.05,Transport
2023-09-25,Movie tickets payment,13.43,Entertainment
2023-10-07,Monthly uber ride,25.08,Transport
2023-07-27,Snacks at Panera Bread,9.16,Food
2023-12-20,Mall - furniture,246.98,Shopping
2024-02-10,Transit hub - taxi,42.73,Transport
2023-11-05,Local retailer - laptop,1944.5,Electronics
2023-07-24,Property management - maintenance,705.31,Housing
2024-02-16,Monthly gas,68.0,Transport
2023-04-15,Office supplies payment,68.3,Shopping
2023-12-29,Taxi at Auto shop,58.78,Transport
2023-03-08,Monthly car maintenance,90.36,Transport
2023-05-11,Pizza Hut - restaurant,28.83,Food
2023-04-12,Mall home decor,98.12,Shopping
2024-01-27,Music streaming from Theme park,7.16,Entertainment
2023-03-26,Snacks from Local restaurant,11.02,Food
2023-06-14,Monthly travel insurance,63.8,Insurance
2023-05-08,Apartment complex repairs,77.58,Housing
2023-07-14,Cable TV payment,105.6,Utilities
2023-01-29,Car wash from Highway,15.48,Transport
2023-07-12,Boutique beauty products,34.96,Shopping
2023-07-14,Water department waste management,35.69,Utilities
2023-04-29,Gas bill payment,135.97,Utilities
2023-09-12,Life insurance at Insurance office,67.34,Insurance
2023-12-19,Health insurance payment,108.6,Health
2023-04-25,Toll at Downtown,14.47,Transport
2023-05-31,Rental insurance payment,37.34,Insurance
2023-05-14,Retail store furniture,266.18,Shopping
2024-02-09,Uber ride at Service center,46.03,Transport
2023-06-29,Coffee shop payment,4.79,Food
2023-05-22,Monthly snacks and beverages,33.28,Groceries
2023-01-31,Bus ticket from Downtown,8.15,Transport
2023-07-30,Health insurance from Hospital,132.42,Health
2023-03-20,Grocery shopping at McDonald's,145.08,Food
2023-07-26,Netflix subscription at Entertainment center,16.4,Entertainment
2024-01-09,Music streaming at Venue,6.6,Entertainment
2023-04-07,Monthly shoes,111.33,Shopping
2023-02-10,Vision insurance payment,33.58,Insurance
2024-01-01,Fast food from Trader Joe's,29.66,Food
2023-08-30,Theater show payment,108.2,Entertainment
2023-06-27,Health insurance at Medical center,352.5,Health
2023-10-23,Dental checkup at Clinic,479.15,Health
2023-12-23,Weekly groceries at Kroger,66.52,Groceries
2023-11-08,Pet supplies at Kroger,75.55,Groceries
2023-10-22,Dental insurance at Insurance agent,116.01,Insurance
2023-05-25,Walmart gaming console,360.71,Electronics
2023-09-10,Dinner at Subway,20.82,Food
2023-09-09,Monthly dental checkup,191.4,Health
2024-01-02,Monthly vitamins,16.57,Health
2023-08-02,Insurance provider - dental insurance,76.17,Insurance
2023-07-20,Beauty products from Online shop,91.75,Shopping
2023-11-21,Utility deposit payment,149.14,Utilities
2024-01-30,Home service home insurance,465.13,Housing
2024-01-12,Clothes from Department store,147.79,Shopping
2023-09-09,Monthly bulk shopping,173.28,Groceries
2023-07-21,Home improvement from Property management,563.56,Housing
2023-12-15,Hospital health insurance,389.05,Health
2023-03-15,Gaming subscription from Concert hall,11.22,Entertainment
2023-11-18,Coffee shop from Subway,17.53,Food
2023-06-27,Home decor at Online shop,66.82,Shopping
2023-10-04,Book purchase payment,46.33,Entertainment
2023-04-06,Dental checkup at Eye care center,353.08,Health
2023-08-30,Online service - netflix subscription,13.69,Entertainment
2023-01-13,Monthly tv,479.78,Electronics
2023-04-09,Restaurant payment,65.65,Food
2023-05-31,Breakfast from Burger King,23.68,Food
2023-05-26,Pantry items payment,126.7,Groceries
2024-02-01,Water department - sewer service,45.68,Utilities
2023-11-02,Sewer service at City utilities,44.54,Utilities
2023-02-07,Headphones payment,248.27,Electronics
2023-09-06,Camera from Amazon,447.97,Electronics
2024-02-28,Theme park theater show,36.79,Entertainment
2023-03-15,Waste management from Cable provider,48.93,Utilities
2023-10-05,Grocery shopping payment,132.25,Food
2023-12-24,Metro card at Local station,35.21,Transport
2023-04-27,Tablet at Apple Store,223.49,Electronics
2023-07-18,Monthly home insurance,492.33,Housing
2024-02-09,Pantry items at Kroger,36.11,Groceries
2023-04-10,City utilities - gas bill,73.9,Utilities
2023-07-14,Clinic - vitamins,40.41,Health
2023-05-19,Monthly dental insurance,94.37,Insurance
2023-12-10,Walmart organic food,98.65,Groceries
2023-09-28,Prescription from Pharmacy,22.5,Health
2023-11-21,Doctor visit payment,198.83,Health
2023-07-01,Meat and dairy at Local grocery,49.32,Groceries
2023-08-13,Toll from Gas station,19.36,Transport
2023-10-15,Meat and dairy from Target,85.07,Groceries
2023-03-07,Safeway pet supplies,42.53,Groceries
2023-03-25,Eye exam payment,58.9,Health
2024-02-24,Property management - property tax,1562.06,Housing
2023-05-14,Monthly laptop,584.89,Electronics
2023-01-15,City center - bus ticket,2.11,Transport
2023-09-29,Cable provider - cable tv,98.51,Utilities
2023-12-04,Pet supplies payment,43.4,Groceries
2023-05-05,Maintenance payment,848.92,Housing
2023-02-02,Bulk shopping from Safeway,282.15,Groceries
2023-09-26,Monthly tablet,586.22,Electronics
2023-07-09,Museum entry at Online service,43.39,Entertainment
2023-03-04,Beverages at Local restaurant,25.81,Food
2023-02-02,Car maintenance at Highway,162.54,Transport
2023-03-17,Clinic - first aid supplies,29.89,Health
2024-02-23,Insurance provider disability insurance,141.73,Insurance
2023-07-23,Gaming console from Best Buy,393.6,Electronics
2023-12-26,City center train ticket,20.95,Transport
2024-01-04,Service center train ticket,19.06,Transport
2023-03-31,Theme park payment,78.52,Entertainment
2023-08-11,Vitamins from Health store,44.1,Health
2023-11-18,Movie tickets at Theater,26.06,Entertainment
2023-12-09,Sports event at Venue,108.19,Entertainment
2023-02-06,Fast food at Starbucks,18.61,Food
2023-09-15,Disability insurance at Insurance agent,100.31,Insurance
2023-11-17,Lunch from Burger King,12.44,Food
2023-09-22,Gaming console from Electronics store,366.56,Electronics
2023-11-24,Pet insurance from Insurance company,47.92,Insurance
2023-08-05,Insurance office - pet insurance,86.86,Insurance
2023-07-20,Insurance company - car insurance,252.94,Insurance
2023-07-12,Aldi - household supplies,85.24,Groceries
2023-11-07,Clinic - medical test,147.85,Health
2023-02-22,Monthly household supplies,89.48,Groceries
2023-10-09,Dinner at Burger King,39.32,Food
2023-11-05,Whole Foods - dinner,39.71,Food
2023-10-09,Gaming console at Electronics store,478.5,Electronics
2023-09-28,Monthly dental checkup,395.29,Health
2023-04-28,Panera Bread - lunch,24.62,Food
2023-01-27,Chipotle restaurant,77.72,Food
2023-08-02,Microsoft Store smart home device,67.83,Electronics
2023-08-06,Highway - taxi,30.05,Transport
2024-01-24,Monthly movie tickets,11.13,Entertainment
2023-04-04,Property service payment,463.25,Housing
2023-11-25,Pharmacy first aid supplies,30.37,Health
2023-07-21,Beauty products at Department store,20.31,Shopping
2023-10-21,Service center - car wash,19.45,Transport
2023-04-06,Museum entry payment,11.71,Entertainment
2023-04-12,Monthly toll,18.2,Transport
2023-09-01,Online service - book purchase,29.01,Entertainment
2023-09-25,Theater show at Venue,96.6,Entertainment
