Date,Description,Amount,Category
2023-07-27,Property tax payment,851.4,Housing
2023-09-27,HOA fees payment,342.53,Housing
2023-09-30,Target - fresh produce,28.06,Groceries
2023-10-27,Monthly toll,5.44,Transport
2023-11-11,Tablet payment,272.25,Electronics
2023-02-16,Disability insurance from Insurance broker,64.37,Insurance
2023-08-03,Mall - accessories,76.1,Shopping
2023-02-26,Home insurance from Insurance company,152.01,Insurance
2023-10-19,Weekly groceries at Local grocery,136.77,Groceries
2023-10-07,Laptop at Online store,1222.72,Electronics
2023-08-09,Dental insurance at Insurance office,98.05,Insurance
2023-08-22,Monthly beauty products,86.69,Shopping
2023-04-15,Utility deposit at Cable provider,237.91,Utilities
2023-07-28,Monthly vitamins,15.16,Health
2023-09-30,Headphones at Tech shop,160.53,Electronics
2023-05-16,McDonald's coffee shop,17.26,Food
2023-03-16,Tablet at Electronics store,481.64,Electronics
2023-02-16,Shoes payment,147.97,Shopping
2023-05-24,Waste management at Phone company,38.55,Utilities
2023-11-17,Parking garage taxi,20.51,Transport
2023-07-16,Dental insurance payment,127.8,Insurance
2023-04-17,Monthly dinner,84.95,Food
2023-06-30,Monthly computer accessories,161.76,Electronics
2023-01-26,Monthly bulk shopping,126.87,Groceries
2023-11-06,Property tax from Home service,1512.85,Housing
2023-04-20,Smartphone payment,1185.96,Electronics
2023-07-04,Music streaming from Museum,13.69,Entertainment
2023-04-22,Health insurance at Clinic,289.92,Health
2023-02-08,HOA fees at Housing authority,318.89,Housing
2023-06-01,Internet bill payment,63.86,Utilities
2024-01-17,Pet supplies payment,74.44,Groceries
2023-03-07,Breakfast at Chipotle,22.87,Food
2023-06-17,Dental checkup payment,153.09,Health
2023-10-29,Breakfast payment,29.62,Food
2023-11-22,Monthly snacks and beverages,68.36,Groceries
2023-09-27,Electricity bill from Utility company,118.24,Utilities
2023-10-16,Monthly property tax,1484.5,Housing
2024-01-11,Monthly netflix subscription,13.47,Entertainment
2023-07-13,Monthly metro card,96.48,Transport
2023-10-28,Food delivery payment,21.25,Food
2023-03-30,Monthly shoes,60.58,Shopping
2023-11-17,Theme park movie tickets,10.37,Entertainment
2023-02-21,Train ticket payment,49.23,Transport
2023-11-18,Water bill payment,37.01,Utilities
2023-02-19,Gas bill payment,118.58,Utilities
2023-08-28,Theater show payment,88.55,Entertainment
2023-06-24,Taxi from Parking garage,32.24,Transport
2023-09-14,Insurance broker dental insurance,133.05,Insurance
2023-12-26,Vitamins payment,11.48,Health
2023-02-18,Monthly property service,478.84,Housing
2023-10-09,Gym membership from Dental office,64.32,Health
2023-09-11,Auto shop - car wash,11.81,Transport
2023-09-20,Auto shop train ticket,24.61,Transport
2023-03-31,Concert tickets at Bookstore,151.01,Entertainment
2024-02-13,Snacks and beverages from Target,22.16,Groceries
2023-06-30,Snacks from Trader Joe's,10.99,Food
2023-08-15,Maintenance company - maintenance,580.53,Housing
2023-06-16,Insurance agent dental insurance,129.25,Insurance
2024-02-16,Headphones payment,196.63,Electronics
2023-12-13,Monthly internet bill,92.78,Utilities
2023-05-31,Restaurant from Whole Foods,52.94,Food
2023-06-26,Smartphone at Microsoft Store,478.03,Electronics
2023-03-20,Metro card at Highway,50.88,Transport
2023-11-18,Life insurance at Online insurance,263.86,Insurance
2023-10-14,Real estate office home insurance,456.86,Housing
2023-03-31,Shopping center - home decor,21.03,Shopping
2023-09-15,Monthly phone bill,61.04,Utilities
2023-09-06,Movie tickets from Theme park,15.51,Entertainment
2023-08-09,Monthly meat and dairy,134.89,Groceries
2023-07-01,Local retailer - smart home device,249.99,Electronics
2023-10-08,TV at Walmart,308.81,Electronics
2023-07-17,Dental insurance payment,32.22,Insurance
2024-01-03,Monthly car wash,18.2,Transport
2024-01-25,Car maintenance payment,199.96,Transport
2023-06-21,Shopping center clothes,185.14,Shopping
2023-01-03,Lunch at Local restaurant,15.29,Food
2023-08-09,Gaming console at Best Buy,388.81,Electronics
2023-03-19,Monthly travel insurance,65.57,Insurance
2023-10-12,Parking payment,9.01,Transport
2023-06-12,Museum sports event,140.36,Entertainment
2023-07-09,Smartphone payment,1189.04,Electronics
2023-10-11,Pet supplies from Whole Foods,48.93,Groceries
2023-09-15,Smart home device at Best Buy,263.62,Electronics
2023-12-04,Dinner payment,35.39,Food
2023-03-03,Property tax payment,1309.68,Housing
2023-06-27,Shoes at Brand store,121.51,Shopping
2024-02-01,Security deposit payment,1737.47,Housing
2023-01-24,Monthly netflix subscription,16.61,Entertainment
2024-01-19,Monthly eye exam,191.85,Health
2023-02-27,Walmart pet supplies,87.42,Groceries
2023-09-13,Monthly breakfast,11.37,Food
2023-01-22,Gas from Local station,34.13,Transport
2023-08-04,Phone bill payment,79.78,Utilities
2023-12-20,Maintenance company hoa fees,169.18,Housing
2023-07-06,Meat and dairy payment,120.54,Groceries
2023-01-06,Mall office supplies,62.15,Shopping
2023-05-02,Maintenance company maintenance,537.62,Housing
2023-01-26,City center gas,61.47,Transport
2023-03-29,Water department cable tv,143.09,Utilities
2023-06-04,Monthly pet supplies,79.95,Groceries
2023-12-03,Clinic gym membership,93.92,Health
2023-05-25,Accessories payment,64.49,Shopping
2023-02-24,Monthly coffee shop,6.62,Food
2023-01-01,Toll at Downtown,13.63,Transport
2024-02-01,Camera payment,717.21,Electronics
2023-04-06,Power company - waste management,32.09,Utilities
2023-02-22,Weekly groceries at Aldi,195.4,Groceries
2023-06-06,Home insurance from Online insurance,278.51,Insurance
2023-10-31,Car wash at Airport,26.28,Transport
2023-06-01,Monthly uber ride,27.04,Transport
2023-10-06,Fresh produce from Local grocery,32.35,Groceries
2023-05-24,Walmart - snacks and beverages,66.16,Groceries
2023-03-29,Parking payment,9.79,Transport
2023-11-29,TV payment,1325.69,Electronics
2023-06-16,Accessories from Department store,27.38,Shopping
2024-02-05,Clothes from Outlet,193.12,Shopping
2023-02-23,Gifts at Online shop,93.08,Shopping
2023-02-22,Fresh produce at Walmart,50.19,Groceries
2023-03-02,Life insurance at Insurance broker,66.85,Insurance
2024-01-03,Monthly doctor visit,194.04,Health
2023-08-06,Monthly home insurance,85.36,Insurance
2023-08-27,Breakfast at Local restaurant,23.44,Food
2023-01-06,Online insurance - rental insurance,78.0,Insurance
2024-02-07,Taxi payment,49.32,Transport
2023-09-26,Home service - property tax,1873.97,Housing
2023-03-24,Monthly taxi,47.17,Transport
2023-02-21,Monthly breakfast,18.97,Food
2023-05-25,Hospital therapy session,155.02,Health
2023-02-05,Burger King food delivery,23.26,Food
2023-07-03,Dental insurance from Insurance provider,115.61,Insurance
2023-11-10,Insurance broker health insurance,260.57,Insurance
2023-06-19,Dental checkup from Gym,362.87,Health
2023-02-10,Monthly pet insurance,96.8,Insurance
2023-04-30,Music streaming payment,7.84,Entertainment
2023-02-25,Gas bill at City utilities,93.97,Utilities
2023-12-10,Clothes at Department store,33.19,Shopping
2024-01-30,Repairs at Maintenance company,340.36,Housing
2023-04-10,Gas bill at Phone company,88.42,Utilities
2023-08-19,Breakfast at McDonald's,5.99,Food
2023-03-06,Insurance office rental insurance,70.34,Insurance
2023-12-07,Sports event from Online service,64.18,Entertainment
2023-07-22,Health insurance at Insurance office,413.79,Insurance
2023-04-24,Laptop at Electronics store,536.62,Electronics
2023-10-23,Monthly sewer service,34.05,Utilities
2024-02-21,Monthly snacks,3.49,Food
2023-12-07,Vision insurance payment,29.7,Insurance
2023-03-04,Laptop from Microsoft Store,1891.21,Electronics
2023-10-25,Museum music streaming,10.26,Entertainment
2023-11-05,Dental insurance at Online insurance,92.54,Insurance
2023-11-01,Monthly rent payment,1594.79,Housing
2023-08-19,Gifts payment,146.09,Shopping
2024-02-24,Mortgage payment at Maintenance company,2441.34,Housing
2023-10-01,Monthly parking,22.77,Transport
2024-01-27,Property management property tax,702.89,Housing
2023-11-08,Maintenance company mortgage payment,1287.43,Housing
2023-04-15,Prescription from Hospital,17.9,Health
2023-07-02,Online insurance travel insurance,80.32,Insurance
2023-03-18,Property management - property service,325.61,Housing
2023-04-19,Dental checkup from Dental office,201.49,Health
2023-12-29,Insurance provider - pet insurance,47.58,Insurance
2023-08-01,Toll from Downtown,17.48,Transport
2024-01-18,Travel insurance from Insurance broker,49.31,Insurance
2023-09-14,Car wash at Airport,31.91,Transport
2023-10-21,Repairs at Maintenance company,204.08,Housing
2023-01-24,Car insurance at Online insurance,244.82,Insurance
2023-08-16,Gifts from Department store,70.22,Shopping
2023-07-23,Transit hub bus ticket,4.23,Transport
2024-02-23,Electricity bill at Cable provider,143.54,Utilities
2023-09-07,Monthly meat and dairy,31.33,Groceries
2023-07-21,Train ticket payment,6.33,Transport
2023-11-12,Concert tickets from Cinema,199.31,Entertainment
2023-09-03,Theme park payment,84.46,Entertainment
2023-09-05,Mall gifts,33.56,Shopping
2024-02-27,Eye care center prescription,66.66,Health
2023-12-21,Office supplies payment,39.79,Shopping
2023-08-19,Safeway - meat and dairy,50.78,Groceries
2023-04-30,Car wash from Downtown,17.93,Transport
2023-07-01,Monthly breakfast,8.23,Food
2023-11-07,Highway gas,25.92,Transport
2023-08-06,Theater show payment,145.26,Entertainment
2023-03-10,Online insurance car insurance,215.67,Insurance
2023-07-20,Sewer service payment,30.14,Utilities
2023-12-17,Costco bulk shopping,147.74,Groceries
2024-01-25,Monthly monthly rent,2504.13,Housing
2023-05-10,Mall - gifts,79.59,Shopping
2023-01-23,Monthly beverages,12.57,Food
2023-04-30,Maintenance company - mortgage payment,1279.11,Housing
2023-05-12,McDonald's - restaurant,90.96,Food
2024-01-12,Netflix subscription at Entertainment center,10.06,Entertainment
2023-02-08,Monthly organic food,109.28,Groceries
2023-07-25,Phone company - utility deposit,181.51,Utilities
2024-01-03,Tablet payment,755.86,Electronics
2023-07-14,Brand store - accessories,80.81,Shopping
2023-08-08,Doctor visit payment,149.82,Health
2023-06-23,Baby supplies at Local grocery,53.49,Groceries
2023-04-06,Gifts payment,137.22,Shopping
2023-02-28,Housing authority - property tax,1706.86,Housing
2023-03-11,Power company cable tv,131.58,Utilities
2023-03-02,Monthly pantry items,118.34,Groceries
2023-01-01,Cable provider - cable tv,130.14,Utilities
2023-08-22,Music streaming payment,8.65,Entertainment
2023-11-30,Train ticket payment,21.62,Transport
2023-11-21,Shoes payment,131.03,Shopping
2023-06-07,Walmart weekly groceries,135.35,Groceries
2023-03-14,Maintenance company home insurance,182.04,Housing
2023-11-04,Pharmacy therapy session,113.07,Health
2023-04-18,Repairs payment,437.51,Housing
2023-01-13,Gaming subscription payment,10.72,Entertainment
2023-05-15,Bus ticket from Local station,6.08,Transport
2023-10-02,Metro card from City center,60.2,Transport
2024-01-06,Gifts from Boutique,36.13,Shopping
2023-01-14,Monthly health insurance,294.78,Insurance
2024-01-11,Online shop office supplies,57.77,Shopping
2023-12-12,Walmart - pet supplies,96.6,Groceries
2023-12-14,Walmart - smartphone,582.03,Electronics
2024-02-27,Book purchase from Entertainment center,38.02,Entertainment
2023-05-16,Gaming console from Tech shop,350.65,Electronics
2023-05-02,Monthly metro card,52.86,Transport
2023-06-10,Car wash payment,20.83,Transport
2023-08-14,Repairs at Property management,84.99,Housing
2024-02-06,Fresh produce from Costco,94.57,Groceries
2023-08-10,Transit hub - taxi,32.17,Transport
2024-02-01,Vision insurance from Online insurance,50.95,Insurance
2023-03-25,Local station - gas,72.99,Transport
2023-06-04,Weekly groceries payment,94.07,Groceries
2023-01-24,Energy service payment,119.99,Utilities
2023-11-10,Phone company cable tv,53.7,Utilities
2024-02-27,Monthly concert tickets,153.05,Entertainment
2023-09-14,Monthly car wash,11.64,Transport
2023-08-13,Monthly metro card,60.91,Transport
2023-08-25,City utilities sewer service,51.53,Utilities
2023-12-26,Theme park at Stadium,112.0,Entertainment
2023-07-16,Cable provider cable tv,87.0,Utilities
2023-01-06,Movie tickets payment,16.34,Entertainment
2023-04-14,Home insurance from Insurance agent,209.11,Insurance
2023-01-26,Specialty shop - shoes,71.63,Shopping
2023-04-16,Car insurance from Insurance provider,230.86,Insurance
2023-04-18,Property management - property service,431.7,Housing
2023-04-18,Apartment complex home insurance,302.22,Housing
2023-07-12,Car wash payment,35.12,Transport
2023-09-29,Monthly household supplies,70.49,Groceries
2023-08-15,Concert tickets at Museum,198.33,Entertainment
2023-08-15,Personal care at Specialty shop,53.04,Shopping
2023-01-19,Mall furniture,489.26,Shopping
2023-02-16,Clothes from Brand store,141.59,Shopping
2023-01-03,Insurance provider home insurance,50.55,Insurance
2023-06-25,Municipal services - cable tv,119.42,Utilities
2023-07-28,Target bulk shopping,266.75,Groceries
2024-01-16,Monthly life insurance,97.18,Insurance
2023-11-22,Online shop beauty products,65.02,Shopping
2023-12-11,Property management property service,340.84,Housing
2024-01-24,Rental insurance from Insurance broker,69.21,Insurance
2023-03-10,Target - bulk shopping,180.23,Groceries
2023-10-25,Real estate office hoa fees,146.95,Housing
2023-02-02,Monthly personal care,43.36,Shopping
2023-02-04,Amazon tv,252.62,Electronics
2023-05-12,Travel insurance at Insurance agent,93.02,Insurance
2023-10-17,Monthly doctor visit,112.26,Health
2023-10-01,Phone company - sewer service,43.58,Utilities
2023-03-09,Real estate office - mortgage payment,2843.47,Housing
2023-06-03,Monthly music streaming,12.17,Entertainment
2023-08-29,Theme park at Concert hall,41.63,Entertainment
2023-12-11,Highway gas,50.71,Transport
2023-04-05,Local grocery - household supplies,93.95,Groceries
2023-12-02,Electricity bill payment,122.21,Utilities
2023-02-19,Maintenance payment,347.16,Housing
2023-10-16,Weekly groceries at Trader Joe's,81.05,Groceries
2023-07-13,Household supplies at Local grocery,27.02,Groceries
2023-09-01,Target tablet,481.34,Electronics
2023-07-24,Vision insurance from Online insurance,85.57,Insurance
2023-09-12,Security deposit at Home service,1195.57,Housing
2023-11-05,Internet provider phone bill,58.93,Utilities
2023-05-03,Home decor from Specialty shop,188.18,Shopping
2024-01-17,Pantry items from Walmart,72.79,Groceries
2024-01-28,Tech shop - gaming console,429.61,Electronics
2023-03-25,Trader Joe's - household supplies,53.44,Groceries
2023-03-19,Gaming subscription payment,12.16,Entertainment
2023-03-20,Housing authority - maintenance,951.59,Housing
2023-02-22,Personal care at Boutique,55.85,Shopping
2024-01-20,Target headphones,135.59,Electronics
2023-11-23,Internet bill payment,57.75,Utilities
2024-02-08,Home decor from Retail store,169.47,Shopping
2023-06-01,Monthly snacks and beverages,25.16,Groceries
2023-02-11,Snacks and beverages from Whole Foods,41.84,Groceries
2023-07-07,Monthly sewer service,40.83,Utilities
2023-05-04,Monthly smartphone,1173.37,Electronics
2023-07-18,Headphones payment,166.37,Electronics
2023-05-24,Waste management payment,47.08,Utilities
2023-10-10,Insurance provider home insurance,266.27,Insurance
2023-03-08,Apartment complex property service,113.72,Housing
2023-09-08,Museum entry payment,12.68,Entertainment
2023-04-06,Tech shop - smart home device,133.3,Electronics
2023-01-04,Gym membership from Hospital,58.57,Health
2023-03-18,Meat and dairy at Safeway,43.24,Groceries
2023-08-10,Life insurance from Insurance company,246.88,Insurance
2023-02-04,Vision insurance from Insurance office,78.98,Insurance
2023-08-26,Home insurance at Insurance provider,139.47,Insurance
2024-02-21,Weekly groceries at Kroger,150.7,Groceries
2023-07-28,Security deposit payment,668.47,Housing
2023-07-26,Monthly property service,187.6,Housing
2023-11-06,Safeway - bulk shopping,268.83,Groceries
2023-03-31,Maintenance company monthly rent,2973.72,Housing
2023-12-29,Gym membership at Dental office,73.11,Health
2023-04-11,Life insurance from Online insurance,264.46,Insurance
2023-11-11,Hospital - health insurance,495.99,Health
2023-06-01,Monthly office supplies,29.93,Shopping
2023-12-24,Monthly beverages,6.42,Food
2023-04-30,Gas bill payment,60.53,Utilities
2023-04-21,Pet supplies payment,48.5,Groceries
2023-11-17,Train ticket payment,20.39,Transport
2023-01-19,Vitamins payment,14.4,Health
2024-02-05,Chipotle restaurant,82.85,Food
2023-12-12,Wellness center - doctor visit,182.06,Health
2023-09-18,Car wash payment,15.54,Transport
2023-10-02,Local market - weekly groceries,120.09,Groceries
2023-03-04,Maintenance company - property tax,1664.72,Housing
2023-08-25,Home service monthly rent,1598.55,Housing
2023-08-06,Mortgage payment payment,2066.24,Housing
2023-06-17,Insurance broker - rental insurance,82.22,Insurance
2023-02-21,Beauty products at Brand store,80.67,Shopping
2023-09-10,Coffee shop payment,8.76,Food
2023-01-21,Health insurance at Gym,290.74,Health
2023-11-27,City utilities - sewer service,63.82,Utilities
2024-01-13,Boutique office supplies,19.6,Shopping
2023-10-07,Health store gym membership,88.7,Health
2023-07-27,Monthly pet supplies,20.6,Groceries
2023-10-23,Museum - concert tickets,69.91,Entertainment
2023-06-10,Monthly doctor visit,151.72,Health
2023-06-19,Apartment complex - maintenance,736.87,Housing
2023-02-22,Gas bill payment,45.06,Utilities
2023-05-29,Local retailer headphones,127.08,Electronics
2023-07-22,Specialty shop - beauty products,83.49,Shopping
2023-06-02,Apple Store - laptop,1243.3,Electronics
2023-01-01,Boutique shoes,145.44,Shopping
2023-12-08,Monthly mortgage payment,2952.05,Housing
2023-05-12,Monthly gas bill,77.42,Utilities
2023-04-13,Fast food at Trader Joe's,29.81,Food
2023-06-16,Shopping center beauty products,41.68,Shopping
2023-03-13,Organic food payment,40.65,Groceries
2023-03-15,Life insurance at Insurance company,88.57,Insurance
2023-08-20,Meat and dairy from Whole Foods,143.34,Groceries
2024-01-28,Sports equipment from Online shop,144.74,Shopping
2023-04-28,Dental office - doctor visit,187.98,Health
2023-02-16,Monthly office supplies,81.71,Shopping
2023-01-26,Weekly groceries at Local grocery,99.43,Groceries
2023-05-01,Food delivery at Panera Bread,46.77,Food
2023-12-02,Monthly mortgage payment,1797.77,Housing
2024-02-06,Retail store - gifts,34.92,Shopping
2023-08-20,Clinic - first aid supplies,25.54,Health
2023-12-27,Cinema netflix subscription,17.64,Entertainment
2023-02-08,Monthly doctor visit,131.38,Health
2024-01-01,Starbucks - fast food,8.55,Food
2023-06-30,Snacks at Burger King,3.88,Food
2023-12-31,Home decor at Mall,90.22,Shopping
2024-02-26,Property service payment,388.82,Housing
2023-11-01,Electricity bill at Internet provider,84.82,Utilities
2023-02-14,Gas station bus ticket,5.34,Transport
2023-09-08,Monthly beverages,19.89,Food
2023-12-21,Property service at Real estate office,433.54,Housing
2023-07-12,Sewer service at Power company,60.37,Utilities
2023-09-26,Netflix subscription at Venue,12.76,Entertainment
2023-02-27,Monthly furniture,212.1,Shopping
2023-07-26,Electronics store smart home device,160.45,Electronics
2023-12-23,Monthly energy service,69.23,Utilities
2023-12-29,Movie tickets payment,21.0,Entertainment
2023-07-16,Monthly weekly groceries,163.15,Groceries
2023-01-15,Charger from Amazon,35.3,Electronics
2023-07-23,Health store - prescription,11.58,Health
2023-10-02,Netflix subscription payment,19.13,Entertainment
2023-10-04,Taxi at Local station,25.21,Transport
2023-09-12,Monthly snacks,11.07,Food
2024-01-21,Sports event payment,36.32,Entertainment
2023-02-14,Monthly pantry items,131.18,Groceries
2023-10-31,Gas at Highway,71.97,Transport
2023-07-17,Health insurance from Insurance office,479.76,Insurance
2024-02-14,Dental office dental checkup,451.22,Health
2023-05-02,Monthly security deposit,1435.84,Housing
2023-01-01,Monthly travel insurance,63.13,Insurance
2023-10-20,Starbucks food delivery,40.79,Food
2023-06-25,Real estate office - maintenance,124.26,Housing
2024-01-22,Coffee shop payment,4.62,Food
2023-05-18,Parking from Transit hub,10.73,Transport
2023-02-13,Monthly dinner,29.66,Food
2023-04-07,Museum museum entry,39.51,Entertainment
2023-12-31,Best Buy - charger,23.91,Electronics
2023-03-05,Metro card from Transit hub,82.0,Transport
2024-02-15,Monthly office supplies,91.39,Shopping
2023-04-15,Electricity bill payment,98.07,Utilities
2023-01-13,Shopping center - shoes,148.27,Shopping
2023-11-30,Food delivery payment,41.92,Food
2023-01-17,Repairs from Maintenance company,169.24,Housing
2023-02-22,Gaming console at Walmart,499.26,Electronics
2024-02-13,Department store furniture,217.25,Shopping
2023-06-16,Retail store gifts,127.89,Shopping
2023-11-11,Specialty shop - sports equipment,116.06,Shopping
2023-06-24,Phone bill payment,99.19,Utilities
2023-05-08,Monthly office supplies,60.07,Shopping
2023-09-29,Utility deposit at Utility company,221.61,Utilities
2023-08-08,Monthly shoes,75.67,Shopping
2024-01-11,Theme park - movie tickets,27.72,Entertainment
2023-09-06,Entertainment center - theater show,96.28,Entertainment
2023-05-10,Monthly disability insurance,202.18,Insurance
2023-03-20,Monthly property service,100.19,Housing
2023-09-18,Property service payment,442.86,Housing
2023-05-23,Water department cable tv,111.42,Utilities
2023-03-15,City utilities gas bill,51.31,Utilities
2023-04-19,Monthly metro card,85.18,Transport
2023-08-01,Medical test at Pharmacy,295.08,Health
2023-06-19,Online shop gifts,39.42,Shopping
2023-12-16,Music streaming at Bookstore,6.93,Entertainment
2023-11-24,Home decor at Brand store,59.99,Shopping
2023-01-11,Movie tickets payment,16.34,Entertainment
2024-01-18,Security deposit from Home service,2785.1,Housing
2024-02-14,Outlet - accessories,63.7,Shopping
2023-02-28,Bus ticket from Airport,9.16,Transport
2023-03-14,Gym membership payment,55.69,Health
2023-09-02,Tablet payment,249.11,Electronics
2023-11-11,Lunch at Whole Foods,19.92,Food
2024-02-15,Monthly disability insurance,164.12,Insurance
2023-09-01,Online insurance - pet insurance,61.14,Insurance
2023-03-15,Therapy session from Gym,132.63,Health
2023-03-17,Monthly snacks,13.07,Food
2023-02-08,Internet bill from Utility company,55.56,Utilities
2023-04-06,Whole Foods fast food,16.85,Food
2023-08-17,Personal care at Department store,63.21,Shopping
2023-10-03,Wellness center - therapy session,100.4,Health
2024-01-14,Theater show from Concert hall,132.21,Entertainment
2024-02-15,Theater show payment,147.63,Entertainment
2023-11-22,Gaming console from Online store,399.38,Electronics
2023-01-08,Trader Joe's food delivery,19.74,Food
2024-02-04,Online store camera,229.63,Electronics
2023-08-28,Home improvement from Home service,771.53,Housing
2023-09-02,Therapy session at Dental office,132.49,Health
2023-12-29,Tablet payment,580.9,Electronics
2023-02-22,Personal care from Online shop,59.39,Shopping
2024-02-22,Cable TV payment,53.31,Utilities
2023-04-23,Dinner from Panera Bread,20.64,Food
2023-05-31,Tech shop - laptop,1548.59,Electronics
2023-08-11,Kroger household supplies,51.96,Groceries
2023-12-10,Best Buy - smart home device,183.48,Electronics
2023-05-29,Phone bill payment,69.23,Utilities
2023-01-16,Auto shop uber ride,37.03,Transport
2023-09-11,Monthly home improvement,605.01,Housing
2023-10-05,Pet insurance at Insurance provider,41.84,Insurance
2024-01-18,Local market - fresh produce,63.93,Groceries
2023-03-02,Home improvement at Apartment complex,245.8,Housing
2023-02-11,Netflix subscription at Museum,19.36,Entertainment
2023-03-03,Car insurance payment,199.21,Insurance
2023-01-31,Monthly dental checkup,273.36,Health
2023-10-07,Housing authority - repairs,443.52,Housing
2023-04-10,Internet provider - cable tv,110.92,Utilities
2023-01-12,Pharmacy - eye exam,138.77,Health
2023-01-18,HOA fees from Apartment complex,499.62,Housing
2023-01-31,Monthly health insurance,172.58,Health
2023-09-09,Snacks and beverages at Kroger,65.82,Groceries
2023-04-04,Airport car wash,19.4,Transport
2023-10-16,Online shop - personal care,35.78,Shopping
2023-02-21,Baby supplies payment,107.7,Groceries
2023-06-20,Theater show at Stadium,77.01,Entertainment
2023-08-26,Bulk shopping at Walmart,282.29,Groceries
2023-04-19,Wellness center dental checkup,315.73,Health
2023-05-18,Fast food from Pizza Hut,5.71,Food
2023-06-25,Concert hall theater show,60.56,Entertainment
2023-05-02,Hospital dental checkup,160.2,Health
2023-12-19,Monthly rent from Home service,2571.52,Housing
2023-06-01,Beauty products at Specialty shop,27.74,Shopping
2024-02-16,Sewer service payment,67.7,Utilities
2023-12-28,McDonald's coffee shop,17.11,Food
2023-08-24,Tech shop - tv,985.13,Electronics
2023-10-20,Netflix subscription at Stadium,17.21,Entertainment
2023-06-25,Highway - car wash,24.97,Transport
2023-06-11,Phone bill at Municipal services,63.75,Utilities
2023-06-15,Life insurance payment,211.38,Insurance
2024-01-27,Car maintenance from Local station,169.77,Transport
2023-12-26,Apple Store laptop,1853.94,Electronics
2023-03-17,Monthly mortgage payment,2631.22,Housing
2023-05-02,Cinema netflix subscription,16.57,Entertainment
2023-11-10,Concert tickets payment,168.01,Entertainment
2023-07-20,Monthly gaming console,316.28,Electronics
2023-12-04,Beauty products at Brand store,47.25,Shopping
2023-02-20,Laptop at Amazon,1526.14,Electronics
2023-11-16,Aldi - meat and dairy,59.95,Groceries
2023-07-12,Metro card at Downtown,75.09,Transport
2023-01-23,Household supplies at Local grocery,99.94,Groceries
2023-06-29,Monthly rent from Real estate office,1498.15,Housing
2023-03-23,Subway coffee shop,18.94,Food
2023-02-20,Headphones at Best Buy,252.34,Electronics
2023-01-20,Monthly fast food,10.02,Food
2024-01-04,Monthly sports event,52.08,Entertainment
2023-08-26,Computer accessories from Walmart,191.05,Electronics
2023-05-25,Monthly energy service,182.18,Utilities
2023-12-11,Sports event from Theater,92.32,Entertainment
2023-01-16,City center - parking,20.46,Transport
2023-04-29,Household supplies at Target,74.03,Groceries
2023-02-10,Monthly restaurant,75.28,Food
2023-12-18,Department store clothes,179.56,Shopping
2023-09-09,Food delivery from Subway,33.05,Food
2023-11-17,Monthly parking,5.42,Transport
2023-12-24,Power company gas bill,126.26,Utilities
2023-07-15,Maintenance payment,351.49,Housing
2023-01-29,Book purchase payment,13.07,Entertainment
2023-03-25,Metro card from Highway,97.92,Transport
